% XXX,	bang(1)	vol 	dura 	out1	dura 	space(0-100)	space-fim	dura	número_do_som	dura	original(0-1)	inv(0-1);
1000,	1	30	7	100	0	100		0		123	5		1130	0		0;
1076,	n	30	18;
1123,	n	30	47	100	0	0		50		199;
1199,	n	30	7;
1275,	n	0	46;
1321,	0;

2199,	1 	20	0	100	0	50		50		0	5		843	0		0;


5000,	1 	30	0	100	0	50		50		0	4		322	0		0;

6000,	1 	30	0	100	0	50		50		0	4		322	0		0;
6322,	1 	30	0	100	0	50		50		0	4		199	0		0;
7000,	1 	30	0	100	0	50		50		0	4		199	0		0;
7199,	1 	30	0	100	0	50		50		0	4		123	0		0;
8000,	1 	30	0	100	0	50		50		0	4		76	0		0;
8076,	1 	30	0	100	0	50		50		0	4		47	0		0;
8123,	1 	30	0	100	0	50		50		0	4		76	0		0;








